gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
KDM4C,Q9H3R0,Homo sapiens,"Epigenetics,Mechanotransduction,Nucleus",Mechanosensitive demethylase; reduced H3K9me3 levels observed in soft nuclear environments (microgravity).,"Loss of H3K9me3 heterochromatin leads to 'Epigenetic Drift' and genomic instability, a driver of scoliotic progression. (Nava et al., 2020)",88,Key epigenetic stiffness sensor linking nuclear mechanics to gene expression stability.
SUV39H1,O43463,Homo sapiens,"Epigenetics,Mechanotransduction,Nucleus",Major H3K9me3 methyltransferase; activity is required to maintain nuclear stiffness against gravity.,"Downregulation linked to cellular senescence and loss of tissue integrity in spinal curvature. (Nava et al., 2020 context)",85,Writer of the heterochromatin 'stiffness code' protecting the genome.
NFE2L2,Q16236,Homo sapiens,"Signaling,ROS,Muscle",Master regulator of antioxidant response; activated by unloading-induced oxidative stress (ROS).,"ROS-METTL3 axis drives paraspinal muscle asymmetry and atrophy in AIS. (Shao et al., 2025)",85,Critical defender against microgravity-induced oxidative damage in paraspinal muscles.
CCN2,P29279,Homo sapiens,"ECM,Mechanotransduction,Fibrosis",Direct target of YAP/TAZ; expression scales with mechanical load and stiffness.,Upregulated in ligamentum flavum of scoliosis patients; drives asymmetric fibrosis. (DOI: 10.1096/fj.201802652R),85,Major effector of fibrosis and stiffness in response to mechanical load.
PKHD1,P08F94,Homo sapiens,"Cilia,Mechanotransduction",Fibrocystin; essential for ciliary sensing of fluid flow (gravity proxy).,"Mutations cause ARPKD and Congenital Hepatic Fibrosis, often associated with scoliosis. (DOI: 10.1007/s00439-014-1430-x)",82,Ciliary mechanosensor linked to syndromic spinal defects.
WDR35,Q9P2L0,Homo sapiens,"Cilia,Transport",IFT component essential for ciliary structure and flow sensing.,Mutations cause Sensenbrenner syndrome (Cranioectodermal dysplasia) with narrow thorax and spinal anomalies. (DOI: 10.1016/j.ajhg.2010.04.017),82,IFT protein linking ciliary structure to skeletal form.
UNCX,Q96D98,Homo sapiens,"Segmentation,Somite",Defines posterior half of somites; essential for establishing vertebral boundaries.,Mutations lead to vertebral fusion and segmentation defects (spondylocostal dysostosis-like). (DOI: 10.1038/nature06686),80,Transcription factor defining the structural unit of the spine.
FERMT2,Q96AC1,Homo sapiens,"Mechanotransduction,Adhesion,Integrin",Kindlin-2; essential for integrin activation and force transmission at focal adhesions (gravity sensing).,Chondrocyte-specific deletion causes severe kyphosis and dwarfism. (DOI: 10.1371/journal.pgen.1005345),90,Direct skeletal defect + mechanotransduction core.
CREBBP,Q92793,Homo sapiens,"Epigenetics,Development,Signaling",HAT activity regulates expression of mechanosensitive genes during development.,Rubinstein-Taybi Syndrome features scoliosis/kyphosis in >50% of patients. (GeneReviews),88,Strong syndromic link to spinal curvature.
IFT140,Q96RY7,Homo sapiens,"Cilia,Transport",Essential for retrograde ciliary transport (IFT-A) and flow sensing.,Mutations cause Mainzer-Saldino syndrome (skeletal dysplasia) with potential spine involvement. (DOI: 10.1016/j.ajhg.2012.04.014),85,Ciliopathy link to skeletal dysplasia.
DKK1,O94907,Homo sapiens,"Signaling,Bone,Unloading",Major inhibitor of Wnt signaling upregulated in mechanical unloading (microgravity). (DOI: 10.1371/journal.pone.0033204),Regulates vertebral bone mass; antibodies prevent unloading-induced bone loss.,88,Key mediator of unloading-induced bone loss.
IGF1,P05019,Homo sapiens,"Signaling,Growth,Muscle",Systemic growth factor sensitive to loading status; decreases in spaceflight.,Serum levels correlate with AIS curve progression during pubertal growth spurt. (DOI: 10.1097/BRS.0b013e31816f286d),85,Growth factor connecting systemic loading to spine progression.
COL10A1,Q03692,Homo sapiens,"ECM,Growth_Plate",Specific to hypertrophic chondrocytes in the load-bearing zone of the growth plate.,Mutations cause Schmid Metaphyseal Chondrodysplasia; associated with spinal changes. (DOI: 10.1002/humu.1380010104),85,Specific marker of the load-bearing growth plate zone.
TWIST2,Q8WVJ9,Homo sapiens,"Development,Transcription_Factor",Regulates dermis/bone differentiation; implicated in mechanosensory differentiation.,Mutations cause Setleis Syndrome and Ablepharon-Macrostomia Syndrome with skeletal abnormalities. (DOI: 10.1038/ng1419),82,Syndromic link via TWIST pathway.
PRICKLE2,Q7Z3G6,Homo sapiens,"PCP,Signaling",Component of PCP pathway aligning tissue polarity against stress.,PCP pathway defects are a fundamental cause of neural tube defects and scoliosis. (General PCP link),80,PCP pathway member.
WNT10B,O00744,Homo sapiens,"Signaling,Bone",Promotes osteogenesis via Wnt; signaling is mechanically regulated.,Mutations cause Split-Hand/Foot Malformation 6; Wnt is key for vertebral bone mass. (DOI: 10.1086/521524),80,Regulator of bone mass under Wnt control.
AXIN2,Q9Y2T1,Homo sapiens,"Signaling,Wnt",Scaffold protein for Wnt destruction complex; negative feedback for mechanosensitive Wnt.,Mutations cause tooth agenesis and colorectal cancer; Wnt regulation essential for spine. (DOI: 10.1086/382227),78,Negative regulator of Wnt mechanosignaling.
PPARGC1A,Q9UBK2,Homo sapiens,Thermodynamic_Cost,Mitochondrial biogenesis master regulator; determines energy SUPPLY capacity.,Energy supply bottleneck during growth spurt contributes to AIS.,100,Essential for Gamma_m supply side.
IGF1R,P08069,Homo sapiens,Thermodynamic_Cost,Insulin-like growth factor 1 receptor; mediates growth plate signaling under load.,Signaling receptor for growth spurt rate; rapid growth linked to curve progression.,100,Essential for Gamma_m supply side.
GHR,P10912,Homo sapiens,Thermodynamic_Cost,Growth hormone receptor; master regulator of adolescent growth spurt rate.,Regulates the rate of spinal elongation; rapid growth is a risk factor for AIS.,100,Essential for Gamma_m supply side.
ARNTL,O00327,Homo sapiens,Thermodynamic_Cost,BMAL1; circadian clock TF in intervertebral disc regulating metabolism.,Circadian rhythm disruption linked to disc degeneration and scoliosis.,100,Essential for Gamma_m supply side.
ITGAV,P06756,Homo sapiens,"Mechanotransduction,Integrin,Signaling",Integrin alpha-V; mechanosensor activating TGF-beta from latent complex (LAP) upon cytoskeletal tension.,TGF-beta signaling is critical for spine development; deletion leads to cleft palate/skeletal defects. (DOI: 10.1242/dev.00843),88,Primary mechanotransducer activating the TGF-beta pathway.
ITGA5,P08648,Homo sapiens,"Mechanotransduction,Adhesion,Somite",Integrin alpha-5; fibronectin receptor sensing matrix assembly under tension.,Essential for somite boundary formation and maintenance; defects lead to vertebral fusion. (PMID: 8666677),85,Required for fibronectin matrix assembly and somite integrity.
ITGA11,Q9UKX5,Homo sapiens,"Mechanotransduction,Adhesion,ECM",Integrin alpha-11; major collagen receptor on MSCs sensing tissue stiffness.,Regulates myofibroblast differentiation and fibrosis; potential role in asymmetric stiffness in scoliosis. (DOI: 10.1016/j.matbio.2014.01.001),85,Key stiffness sensor for mesenchymal stem cells.
LATS1,O95835,Homo sapiens,"Mechanotransduction,Hippo,Signaling",LATS1 kinase; phosphorylates YAP/TAZ in response to low stiffness/unloading.,Hippo pathway regulates vertebral growth plate proliferation; loss leads to overgrowth. (DOI: 10.1126/science.1145880),85,Core kinase of the Hippo mechanotransduction pathway.
LATS2,Q9NRM7,Homo sapiens,"Mechanotransduction,Hippo,Signaling",LATS2 kinase; partner of LATS1 in YAP/TAZ regulation under mechanical stress.,Redundant role with LATS1; essential for skeletal development control. (DOI: 10.1038/ncb2207),85,Core kinase of the Hippo mechanotransduction pathway.
DVL2,O14641,Homo sapiens,"PCP,Wnt,Segmentation",Dishevelled-2; essential for PCP signaling aligning tissues against stress.,Knockout mice have truncated tails and vertebral segmentation defects (Robinow-like). (DOI: 10.1038/ng856),85,PCP effector essential for vertebral segmentation.
DVL3,Q92997,Homo sapiens,"PCP,Wnt,Segmentation",Dishevelled-3; PCP signaling mediator.,Dvl3-/- mice exhibit conotruncal heart defects and skeletal malformations. (DOI: 10.1242/dev.01533),82,PCP effector linked to skeletal development.
WNT5B,Q9H1J7,Homo sapiens,"PCP,Signaling,Growth_Plate",Wnt ligand regulating chondrocyte stacking (PCP) in the growth plate.,Essential for proper vertebral column elongation and segmentation; shortness leads to defects. (DOI: 10.1242/dev.02104),85,Regulates oriented cell division in the growth plate.
RYK,P34925,Homo sapiens,"PCP,Receptor,Wnt",Wnt receptor (atypical) transducing Wnt5a/PCP signals for tissue polarity.,Ryk-/- mice have skeletal defects including craniofacial and spinal shortening. (DOI: 10.1038/nature03215),80,Receptor for Wnt/PCP pathway regulating body axis elongation.
COL27A1,Q8IZC6,Homo sapiens,"ECM,Cartilage,Structure",Collagen XXVII; structural component of the cartilage to bone transition.,Mutations cause Steel syndrome (cervical spine instability/scoliosis). (OMIM: 615155),88,Defining gene for Steel Syndrome with spinal instability.
ADAMTS4,O75173,Homo sapiens,"ECM,Degradation,Cartilage",Aggrecanase-1; enzyme degrading aggrecan under mechanical stress.,Implicated in intervertebral disc degeneration; activity increases with load. (DOI: 10.1074/jbc.M000254200),82,Mechanosensitive enzyme degrading disc matrix.
CYR61,O00622,Homo sapiens,"Mechanotransduction,ECM,Signaling",CCN1; matricellular protein and direct YAP/TAZ target; highly mechanosensitive.,Regulates chondrogenesis; overexpression leads to skeletal defects. (DOI: 10.1074/jbc.M409028200),82,Direct transcriptional target of YAP/TAZ mechanotransduction.
NOV,P48745,Homo sapiens,"Mechanotransduction,ECM,Notch",CCN3; matricellular protein modulating Notch signaling under stress.,Regulates osteogenesis; mutant mice have skeletal defects. (DOI: 10.1186/1471-213X-6-35),80,Matricellular regulator of Notch signaling in bone.
MATN3,O15232,Homo sapiens,"ECM,Cartilage,Structure",Matrilin-3; filamentous matrix protein essential for cartilage stiffness.,Mutations cause Multiple Epiphyseal Dysplasia (MED) and potentially spinal changes. (DOI: 10.1038/ng766),85,Structural component of cartilage matrix linked to dysplasia.
COL9A3,Q14050,Homo sapiens,"ECM,Cartilage,Structure",Collagen IX; FACIT collagen bridging fibrils and providing shear resistance.,Mutations cause Multiple Epiphyseal Dysplasia (MED) with spinal involvement. (DOI: 10.1086/300460),85,FACIT collagen essential for cartilage mechanical integrity.
HES1,Q14469,Homo sapiens,"Segmentation,Notch,Clock",Hairy and enhancer of split 1; cyclic expression (clock) essential for segmentation timing.,Hes1 loss leads to severe vertebral segmentation defects and fusion. (DOI: 10.1126/science.1070283),85,Core component of the segmentation clock oscillator.
DLL1,O00548,Homo sapiens,"Segmentation,Notch,Ligand",Delta-like 1; Notch ligand essential for somite boundary formation.,Null mice have fused vertebrae and severe segmentation defects. (DOI: 10.1038/361699a0),88,Essential ligand for establishing somite boundaries.
TBX18,O95935,Homo sapiens,"Segmentation,Somite,Transcription_Factor",T-box factor regulating anterior somite identity and sclerotome differentiation.,Essential for vertebral pedicle/lamina formation; maintains segmentation. (DOI: 10.1242/dev.00971),85,Regulator of anterior somite polarity and vertebral shape.
PHEX,P78562,Homo sapiens,"Bone,Mineralization,Signaling",Phosphate regulating endopeptidase; regulates bone stiffness via mineralization.,Mutations cause X-linked hypophosphatemia with rachitic spine deformities/kyphosis. (DOI: 10.1038/ng0695-130),85,Regulator of bone mineralization and mechanical stiffness.
DMP1,Q13316,Homo sapiens,"Bone,Mechanotransduction,Osteocyte",Dentin matrix acidic phosphoprotein 1; essential for osteocyte maturation and load sensing.,Loss leads to osteomalacia and spinal deformity; critical for osteocyte dendrite formation. (DOI: 10.1016/j.cell.2003.11.002),88,Key protein for osteocyte mechanosensing and mineralization.
IFT80,Q9NVS2,Homo sapiens,"Cilia,Transport,IFT",Intraflagellar Transport 80; essential for ciliary assembly and flow sensing.,Mutations cause Jeune Asphyxiating Thoracic Dystrophy with short ribs and spinal anomalies. (DOI: 10.1038/ng.150),88,Ciliopathy gene linking flow sensing to thoracic/spinal skeletal defects.
IFT172,Q9UG01,Homo sapiens,"Cilia,Transport,IFT",Intraflagellar Transport 172; regulates ciliary signaling (Hedgehog).,Mutations cause Mainzer-Saldino syndrome (skeletal dysplasia) and Jeune syndrome. (DOI: 10.1016/j.ajhg.2013.10.019),85,IFT complex component essential for skeletal ciliogenesis.
HIF1A,Q16665,Homo sapiens,"Signaling,Metabolism,Nucleus",Master regulator of hypoxic response; upregulated in IVD under 'Convective Shutdown' (microgravity).,Drives catabolic remodeling and MMP expression in loaded/unloaded discs. (Sato et al. 2025).,95,Master regulator of the Hypoxic trigger in IVD.
NR1D1,P20393,Homo sapiens,"Circadian,Metabolism,Nucleus",Rev-erb alpha; regulates circadian metabolism and inflammation; target of 'Chrono-Therapy' for jetlag.,Essential for IVD clock function; regulates disc inflammation and degeneration. (Dudek et al. 2017).,92,Ligand-regulatable clock component linking rhythm to metabolism.
CLOCK,O15516,Homo sapiens,"Circadian,Nucleus",Core clock component (heterodimer with BMAL1); essential for sensing daily load cycles.,IVD has an autonomous clock; disruption leads to degeneration. (Dudek et al. 2017).,90,The partner of BMAL1 in the core loop.
TEAD1,P28347,Homo sapiens,"Mechanotransduction,Hippo,Transcription_Factor",Main DNA-binding partner of YAP/TAZ; translates mechanical signals into gene expression.,Essential for notochord integrity and vertebral growth plate function. (Dupont et al. 2011 context).,90,The effector of the YAP/TAZ gravity sensor.
PER2,O15055,Homo sapiens,"Circadian,Bone",Core clock gene; expression oscillates with load; regulates bone mass.,Mutation affects bone formation and potentially spinal alignment (leptin link). (Fu et al. 2005).,88,Links circadian rhythm directly to bone mass regulation.
KANK1,Q14678,Homo sapiens,"Mechanotransduction,Cytoskeleton,Adhesion",Connects microtubules to focal adhesions; regulates integrin-mediated gravity sensing.,Mutations cause cerebral palsy with spastic quadriplegia and scoliosis (CPSQ2). (OMIM 612936).,88,Direct genetic link to spasticity/scoliosis and mechanotransduction.
ITGB3,P05106,Homo sapiens,"Mechanotransduction,Adhesion,Bone",Forms avb3 integrin (mechanosensor); essential for osteocyte response to fluid flow/load.,Regulates bone remodeling; polymorphisms linked to bone density/spine issues.,85,Key osteocyte mechanosensor.
TBX15,Q96SF7,Homo sapiens,"Development,Skeleton,Segmentation",Regulates skeletal development; patterning of the dorso-ventral axis.,Mutations cause Cousin syndrome with cervical vertebral anomalies and scapular/pelvic hypoplasia. (PMC2668032).,85,Defining gene for Cousin syndrome vertebral defects.
PAX9,P55771,Homo sapiens,"Development,Segmentation,Vertebra",Essential for sclerotome differentiation (vertebral body formation).,Pax9-deficient mice lack vertebral bodies; linked to tooth/spine anomalies. (Genes & Dev 1998).,85,Essential for vertebral body formation.
ITGA2,P17301,Homo sapiens,"Mechanotransduction,Adhesion,ECM",Collagen receptor (a2b1); senses matrix stiffness and composition.,Expressed in IVD; mediates cell-matrix interaction in nucleus pulposus.,82,Primary collagen receptor in the IVD.
DLC1,Q96QB1,Homo sapiens,"Mechanotransduction,Signaling,Cytoskeleton",RhoGAP localized to focal adhesions; negatively regulates RhoA (gravity response).,Essential for embryonic development; regulates cell contractility and shape.,80,Negative regulator of the RhoA gravity response.
INPP5E,Q9NRR6,Homo sapiens,"Cilia,Signaling,Phosphatase",Ciliary phosphatase essential for stability and signaling (flow sensing).,Mutations cause Joubert syndrome (ciliopathy) with skeletal defects. (PMC5685896).,82,Phosphatase regulating ciliary membrane composition.
CEP164,Q9P2B2,Homo sapiens,"Cilia,Centrosome",Distal appendage protein required for docking the basal body (ciliogenesis).,Mutations cause Nephronophthisis and ciliopathies with skeletal involvement.,82,Critical for the initial step of ciliogenesis.
MESP1,P59096,Homo sapiens,"Segmentation,Somite",Master regulator of cardiovascular and mesodermal differentiation.,Functional redundancy with MESP2 in somite segmentation.,80,Partner of MESP2 in establishing somite polarity.
CRY1,Q16526,Homo sapiens,"Circadian,Nucleus",Repressor in the core clock loop; essential for rhythm generation.,Part of the IVD autonomous clock.,80,Essential repressor in the circadian feedback loop.
TMEM216,Q9P0N5,Homo sapiens,"Cilia,Membrane",Localizes to ciliary base; required for ciliogenesis.,Mutations cause Meckel-Gruber and Joubert syndromes (ciliopathies).,80,Core component of the transition zone in cilia.
TEAD4,Q15561,Homo sapiens,"Mechanotransduction,Development",YAP partner; regulates lineage specification.,Involved in early embryonic patterning.,78,Developmental paralog of TEAD1.
COL1A2,P08123,Homo sapiens,"ECM,Bone,Mechanotransduction",Major load-bearing collagen type I alpha 2 chain; essential for tissue stiffness against gravity.,"Mutations cause Osteogenesis Imperfecta Type I-IV, characterized by severe progressive scoliosis. (DOI: 10.1016/j.spam.2014.11.002)",90,Primary structural failure against gravity in OI; partner of COL1A1.
COL6A2,P12110,Homo sapiens,"ECM,Muscle,Adhesion","Collagen VI microfibrils anchor muscle cells to the ECM, transmitting contractile force.","Mutations cause Ullrich Congenital Muscular Dystrophy, featuring severe scoliosis and spinal rigidity. (PMC8283577)",88,Critical for muscle-matrix coupling and spinal stability.
COL6A3,P12111,Homo sapiens,"ECM,Muscle,Adhesion",Collagen VI alpha 3 chain; essential for microfibril assembly and muscle anchorage.,Mutations cause Ullrich CMD and Bethlem Myopathy with prominent spinal deformities. (PMC8283577),88,Critical for muscle-matrix coupling and spinal stability.
NEB,P20929,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Giant actin-binding protein regulating thin filament length and force generation against gravity.,"Mutations cause Nemaline Myopathy Type 2, frequently associated with scoliosis and rigid spine. (DOI: 10.1093/brain/awh615)",88,Regulator of sarcomere structure and muscle tone.
ACTA1,P68133,Homo sapiens,"Muscle,Cytoskeleton,Contractility",Skeletal muscle alpha-actin; the core component of the contractile apparatus resisting gravity.,Mutations cause Nemaline Myopathy Type 3 with severe congenital scoliosis. (DOI: 10.1093/brain/awh615),88,Core contractile protein essential for postural muscle function.
TPM3,P06753,Homo sapiens,"Muscle,Cytoskeleton,Contractility",Tropomyosin 3; regulates actin-myosin interaction and muscle contraction tone.,Mutations cause Nemaline Myopathy Type 1 and Congenital Fiber Type Disproportion with scoliosis. (DOI: 10.1093/brain/awh615),85,Regulator of muscle contraction and fiber type identity.
ITGA7,Q13683,Homo sapiens,"Adhesion,Muscle,Mechanotransduction","Integrin alpha-7; primary laminin receptor in muscle, transmitting force to ECM.",Mutations cause Congenital Muscular Dystrophy with early-onset scoliosis. (DOI: 10.1038/ng0698-151),88,Primary mechanolink between muscle cytoskeleton and ECM.
TNNT1,P13805,Homo sapiens,"Muscle,Contractility",Troponin T1 (slow skeletal); regulates muscle contraction in postural (slow-twitch) muscles.,Mutations cause Nemaline Myopathy Type 5 (Amish type) with severe scoliosis. (DOI: 10.1038/ng0600-172),85,Essential for function of slow-twitch postural muscles.
CFL2,Q9Y281,Homo sapiens,"Muscle,Cytoskeleton,Regulation",Cofilin-2; regulates actin filament dynamics in muscle.,Mutations cause Nemaline Myopathy Type 7 with scoliosis. (DOI: 10.1016/j.ajhg.2006.11.014),85,Regulator of actin dynamics in muscle.
KBTBD13,C9JR72,Homo sapiens,"Muscle,Cytoskeleton,Ubiquitination",Kelch repeat protein regulating muscle structure and ubiquitin-mediated degradation.,Mutations cause Nemaline Myopathy Type 6 with specific core-rod pathology and scoliosis. (DOI: 10.1016/j.ajhg.2010.10.019),85,Muscle-specific ubiquitin ligase adaptor linked to myopathy.
LMOD3,Q0VAK6,Homo sapiens,"Muscle,Cytoskeleton,Assembly",Leiomodin-3; essential for thin filament nucleation and length regulation in sarcomeres.,Mutations cause Nemaline Myopathy Type 10 with severe scoliosis. (DOI: 10.1038/ncomms6067),85,Critical for sarcomere assembly and maintenance.
KLHL40,Q2TBA0,Homo sapiens,"Muscle,Ubiquitination,Stability","Promotes stability of thin filament proteins (NEB, LMOD3) essential for gravity resistance.",Mutations cause Nemaline Myopathy Type 8 with severe fetal akinesia and scoliosis. (DOI: 10.1016/j.ajhg.2013.05.026),88,Master stabilizer of the thin filament complex.
KLHL41,O60662,Homo sapiens,"Muscle,Ubiquitination,Stability",Regulates stability of Nebulin; essential for sarcomere integrity.,Mutations cause Nemaline Myopathy Type 9 with scoliosis. (DOI: 10.1016/j.ajhg.2013.10.013),85,Stabilizer of Nebulin.
MYPN,Q86TC9,Homo sapiens,"Muscle,Cytoskeleton,Structure",Myopalladin; links sarcomere to nucleus and sarcoplasmic reticulum (mechanotransduction).,Mutations cause Nemaline Myopathy Type 11 and cardiomyopathy; scoliosis observed. (DOI: 10.1016/j.nmd.2016.10.005),82,Linker protein in the sarcomeric mechanotransduction network.
MEPE,Q9NQ76,Homo sapiens,"Bone,Mineralization,Mechanotransduction",Matrix Extracellular Phosphoglycoprotein; osteocyte mechanosensor regulating mineralization.,Regulates bone mass and phosphate homeostasis; dysfunction leads to osteomalacia/deformity. (DOI: 10.1359/jbmr.2003.18.8.1486),82,Key regulator of bone mineralization density under load.
FGF23,Q9GZV9,Homo sapiens,"Bone,Signaling,Metabolism",Regulates phosphate homeostasis and vitamin D; essential for bone stiffness.,Excess FGF23 causes X-linked Hypophosphatemia (XLH) with rachitic spinal deformities (kyphoscoliosis). (DOI: 10.1056/NEJMoa1902430),88,Major systemic regulator of bone mineral content and stiffness.
MKS1,Q9NXB0,Homo sapiens,"Cilia,PCP,Development",Meckel Syndrome Type 1; essential for ciliary transition zone and signaling.,Mutations cause Meckel-Gruber syndrome; skeletal dysplasia and polydactyly common. (DOI: 10.1038/ng1714),85,Ciliopathy gene essential for ciliary integrity.
TMEM138,Q9NPI0,Homo sapiens,"Cilia,PCP,Development",Required for ciliogenesis and vesicular transport to the cilium.,Mutations cause Joubert Syndrome with skeletal defects. (DOI: 10.1038/ng.1027),82,Essential for ciliary vesicle trafficking.
TMEM231,Q9H6L2,Homo sapiens,"Cilia,PCP,Development",Component of the transition zone complex; barrier for ciliary membrane protein diffusion.,Mutations cause Meckel-Gruber and Joubert syndromes with skeletal anomalies. (DOI: 10.1038/ng.1027),82,Essential for ciliary transition zone function.
TCTN2,Q96GX1,Homo sapiens,"Cilia,PCP,Signaling",Tectonic family member; regulates ciliary membrane composition and Hedgehog signaling.,Mutations cause Meckel-Gruber and Joubert syndromes. (DOI: 10.1038/ng.902),82,Regulator of ciliary membrane composition.
ACVR1,Q04771,Homo sapiens,"Signaling,Mechanotransduction,Bone",FOP causative mutation (R206H) alters mechanosensing (stiffness sensing) and leads to heterotopic ossification.,Fibrodysplasia Ossificans Progressiva (FOP) causes severe spinal fusion and deformities. (DOI: 10.1091/mbc.E18-05-0311),95,Direct causative mutation linking mechanosensing failure to catastrophic spinal ossification.
TGFB2,P61812,Homo sapiens,"Signaling,ECM,Mechanotransduction",TGF-beta signaling is mechanically regulated by ECM strain; essential for tissue maintenance under load.,"Loeys-Dietz Syndrome Type 4 features severe, rapidly progressive scoliosis. (DOI: 10.1038/ng.974)",88,Key signaling ligand for load-dependent tissue maintenance; strong syndromic link.
SLC26A2,P50443,Homo sapiens,"Ion_Transport,Cartilage,Mechanotransduction","Sulfate transporter essential for cartilage proteoglycan sulfation (aggrecan), which provides compressive stiffness against gravity.",Diastrophic Dysplasia is characterized by severe kyphoscoliosis. (DOI: 10.1002/humu.1380050104),88,Essential for the chemical basis of cartilage stiffness (sulfation).
ELN,P15502,Homo sapiens,"ECM,Structure,Elasticity",Elastin provides long-range elasticity and recoil against gravity loading.,Williams Syndrome (Elastin haploinsufficiency) has 34% scoliosis prevalence. (PMC4081883),88,Major structural determinant of tissue elasticity; strong clinical link.
SKI,P12755,Homo sapiens,"Signaling,Development",Repressor of TGF-beta signaling; pathway is mechanically activated by ECM strain.,Shprintzen-Goldberg Syndrome causes Marfanoid habitus and scoliosis. (DOI: 10.1038/ng1016),85,Negative regulator of the mechanosensitive TGF-beta pathway.
BBS10,Q8TAM1,Homo sapiens,"Cilia,Chaperone",Chaperonin essential for BBSome assembly and ciliogenesis; cilia are gravity/flow sensors.,Bardet-Biedl Syndrome (major locus) has 16-20% scoliosis prevalence. (GeneReviews),85,Major ciliopathy gene with significant scoliosis comorbidity.
P3H1,Q32P28,Homo sapiens,"ECM,Enzyme",Modifies collagen (prolyl 3-hydroxylation) to ensure proper folding and stability under mechanical stress.,Osteogenesis Imperfecta Type VIII (recessive) causes severe scoliosis. (DOI: 10.1056/NEJMoa063804),85,Essential enzyme for collagen mechanical quality.
CRTAP,O75718,Homo sapiens,"ECM,Protein",Part of the collagen prolyl 3-hydroxylation complex; essential for bone matrix quality.,Osteogenesis Imperfecta Type VII (recessive) causes scoliosis. (DOI: 10.1056/NEJMoa063804),85,Component of the collagen modification complex essential for stiffness.
PPIB,P23284,Homo sapiens,"ECM,Chaperone",Cyclophilin B; collagen chaperone ensuring proper folding for load resistance.,Osteogenesis Imperfecta Type IX (recessive) causes scoliosis. (DOI: 10.1086/522237),85,Collagen chaperone critical for matrix integrity.
MYH7,P12883,Homo sapiens,"Muscle,Motor_Protein",Slow myosin heavy chain; essential for maintaining postural tone against gravity.,Mutations cause Congenital Scoliosis (PMC11525624) and Laing distal myopathy.,85,Primary motor protein for slow-twitch postural muscles; direct scoliosis link.
SMAD2,Q15796,Homo sapiens,"Signaling,Mechanotransduction",Effector of TGF-beta signaling; pathway is mechanically activated.,Loeys-Dietz Syndrome Type 6 features scoliosis. (DOI: 10.1038/ng.974),85,Downstream effector of the mechanosensitive TGF-beta pathway.
TRPS1,Q9UHF7,Homo sapiens,"Transcription_Factor,Bone",Regulates chondrocyte proliferation and differentiation under load; zinc finger factor.,Trichorhinophalangeal Syndrome Type I features scoliosis. (MedlinePlus),82,Transcriptional regulator of chondrocyte phenotype.
SHOX,O15266,Homo sapiens,"Transcription_Factor,Growth",Dose-dependent regulator of growth in limb and vertebral column.,Leri-Weill Dyschondrosteosis; mesomelic shortening and scoliosis are common. (GeneReviews),82,Key regulator of skeletal growth proportions.
GDF11,O95390,Homo sapiens,"Signaling,Segmentation",TGF-beta family member regulating anterior-posterior patterning (axial identity).,Linked to vertebral hypersegmentation and rib anomalies. (PMC10829358),80,Regulator of vertebral segmentation number and identity.
FLNC,Q14315,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Filamin C; actin crosslinker acting as mechanosensor in muscle Z-discs.,Mutations cause myofibrillar myopathy; linked to muscle weakness and potential spine issues. (Orphanet),80,Muscle-specific mechanosensor essential for Z-disc integrity.
BMP1,P13497,Homo sapiens,"ECM,Enzyme,Bone",Procollagen C-proteinase essential for collagen maturation and tissue tensile strength against gravity.,Mutations cause Osteogenesis Imperfecta (types XIII) with severe spinal deformities. (DOI: 10.1002/humu.22744),90,Enzyme defining collagen stiffness and mechanical integrity.
WNT1,P04628,Homo sapiens,"Signaling,Bone,Mechanotransduction",Key Wnt ligand regulating bone mass accumulation in response to mechanical loading.,Mutations cause Osteogenesis Imperfecta (type XV) and early-onset severe osteoporosis/scoliosis. (DOI: 10.1056/NEJMoa1215458),90,Direct bone mass regulator; high relevance to bone fragility/mechanics.
PLS3,O60493,Homo sapiens,"Cytoskeleton,Mechanotransduction,Actin",Actin bundling protein crucial for cytoskeletal stiffness and mechanotransduction.,Mutations cause X-linked Osteoporosis with fractures and progressive scoliosis/kyphosis. (DOI: 10.1056/NEJMoa1306611),88,Cytoskeletal regulator linking actin dynamics to bone fragility and spine curvature.
CHD7,Q9P2D1,Homo sapiens,"Chromatin,Development,Epigenetics",Chromatin remodeler regulating expression of developmental genes under stress.,"Mutations cause CHARGE syndrome, where scoliosis is a major feature (60-80% prevalence). (DOI: 10.1002/ajmg.a.32677)",88,Key epigenetic regulator with strong syndromic link to spinal defects.
HAS2,Q92819,Homo sapiens,"ECM,Metabolism,Epigenetics","Synthesizes hyaluronan, essential for osmotic swelling pressure and tissue hydration against compression.",Identified as a top epigenetic candidate with differential methylation/expression in AIS. (PMC12429667),85,Crucial for IVD mechanics (swelling pressure) and linked to AIS via epigenetics.
KIF22,Q14807,Homo sapiens,"Cytoskeleton,Motor_Protein,Development",Kinesin-like protein regulating microtubule dynamics and potentially mechanosensing.,Mutations cause Spondylocarpotarsal Synostosis Syndrome with vertebral fusions and scoliosis. (DOI: 10.1038/ng.2060),85,Cytoskeletal motor protein with direct link to vertebral fusion.
